id,name,reactants,products,modifiers
rnR04969,['hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase'],"[['trans-Hexadec-2-enoyl-[acp]', 'trans-Hexadec-2-enoyl-[acyl-carrier protein]', '(2E)-Hexadecenoyl-[acp]']]","[['Hexadecanoyl-[acp]', 'Hexadecanoyl-[acyl-carrier protein]', 'Palmitoyl-[acyl-carrier protein]']]",[]
rnR04966,['tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase'],"[['trans-Tetradec-2-enoyl-[acp]', 'trans-Tetradec-2-enoyl-[acyl-carrier protein]', '(2E)-Tetradecenoyl-[acp]']]","[['Tetradecanoyl-[acp]', 'Tetradecanoyl-[acyl-carrier protein]', 'Myristoyl-[acyl-carrier protein]']]",[]
rnR04724,['dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase'],"[['trans-Dodec-2-enoyl-[acp]', 'trans-Dodec-2-enoyl-[acyl-carrier protein]', '(2E)-Dodecenoyl-[acp]']]","[['Dodecanoyl-[acyl-carrier protein]', 'Dodecanoyl-[acp]', 'Lauroyl-[acyl-carrier protein]']]",[]
rnR04961,['decanoyl-[acp]:NAD+ trans-2-oxidoreductase'],"[['trans-Dec-2-enoyl-[acp]', 'trans-Dec-2-enoyl-[acyl-carrier protein]', 'trans-2-Decenoyl-[acyl-carrier protein]', '(2E)-Decenoyl-[acp]']]","[['Decanoyl-[acp]', 'Decanoyl-[acyl-carrier protein]']]",[]
rnR04958,['octanoyl-[acp]:NAD+ trans-2-oxidoreductase'],"[['trans-Oct-2-enoyl-[acp]', 'trans-Oct-2-enoyl-[acyl-carrier protein]', 'Oct-2-enoyl-[acyl-carrier protein]', '2-Octenoyl-[acyl-carrier protein]', '(2E)-Octenoyl-[acp]']]","[['Octanoyl-[acp]', 'Octanoyl-[acyl-carrier protein]']]",[]
rnR04955,['hexanoyl-[acp]:NAD+ trans-2-oxidoreductase'],"[['trans-Hex-2-enoyl-[acp]', 'trans-Hex-2-enoyl-[acyl-carrier protein]', '(2E)-Hexenoyl-[acp]']]","[['Hexanoyl-[acp]', 'Hexanoyl-[acyl-carrier protein]']]",[]
rnR04430,['butyryl-[acp]:NADP+ trans-2-oxidoreductase'],"[['But-2-enoyl-[acyl-carrier protein]', '(2E)-But-2-enoyl-[acp]', '(2E)-Butenoyl-[acp]']]","[['Butyryl-[acp]', 'Butyryl-[acyl-carrier protein]', 'Butanoyl-[acp]']]",[]
rnR08159,['tetradecanoyl-[acyl-carrier protein] hydrolase'],"[['Tetradecanoyl-[acp]', 'Tetradecanoyl-[acyl-carrier protein]', 'Myristoyl-[acyl-carrier protein]']]","[['Tetradecanoic acid', 'Tetradecanoate', 'Myristic acid']]",[]
rnR04014,['dodecanoyl-[acyl-carrier-protein] hydrolase'],"[['Dodecanoyl-[acyl-carrier protein]', 'Dodecanoyl-[acp]', 'Lauroyl-[acyl-carrier protein]']]","[['Dodecanoic acid', 'Dodecanoate', 'Dodecylcarboxylate', 'Lauric acid']]",[]
rnR08162,['hexadecenoyl-[acyl-carrier protein] hydrolase'],"[['Hexadecenoyl-[acyl-carrier protein]', '(9Z)-Hexadec-9-enoyl-[acyl-carrier protein]']]","[['(9Z)-Hexadecenoic acid', 'Palmitoleic acid', 'cis-9-Hexadecenoic acid', '(9Z)-Hexadec-9-enoate']]",[]
